Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], |Z0| [Ohm] , Arg(Z0) [-]
1.545200e+09, 1.348763e-01, 7.161233e-01, 7.251378e-01, 2.401340e+00, -4.208874e-01, -6.254167e-01, 8.034539e-11, 4.238352e-11, 6.756381e-11, 6.095744e+01, -1.832339e-01
1.549000e+09, 1.349088e-01, 7.161133e-01, 7.251280e-01, 2.399421e+00, -4.218994e-01, -6.270298e-01, 8.041677e-11, 4.236204e-11, 6.756542e-11, 6.093856e+01, -1.836545e-01
1.552800e+09, 1.349415e-01, 7.161031e-01, 7.251180e-01, 2.397501e+00, -4.229108e-01, -6.286430e-01, 8.049791e-11, 4.233982e-11, 6.756672e-11, 6.091965e+01, -1.840754e-01
1.556600e+09, 1.349746e-01, 7.160929e-01, 7.251079e-01, 2.395579e+00, -4.239217e-01, -6.302562e-01, 8.058856e-11, 4.231695e-11, 6.756789e-11, 6.090070e+01, -1.844966e-01
1.560400e+09, 1.350081e-01, 7.160826e-01, 7.250977e-01, 2.393655e+00, -4.249321e-01, -6.318695e-01, 8.068839e-11, 4.229351e-11, 6.756910e-11, 6.088170e+01, -1.849181e-01
1.564200e+09, 1.350418e-01, 7.160722e-01, 7.250874e-01, 2.391729e+00, -4.259419e-01, -6.334828e-01, 8.079705e-11, 4.226961e-11, 6.757052e-11, 6.086266e+01, -1.853400e-01
1.568000e+09, 1.350759e-01, 7.160618e-01, 7.250771e-01, 2.389799e+00, -4.269511e-01, -6.350961e-01, 8.091414e-11, 4.224531e-11, 6.757232e-11, 6.084356e+01, -1.857623e-01
1.571800e+09, 1.351102e-01, 7.160514e-01, 7.250669e-01, 2.387868e+00, -4.279598e-01, -6.367095e-01, 8.103919e-11, 4.222073e-11, 6.757466e-11, 6.082441e+01, -1.861849e-01
1.575600e+09, 1.351448e-01, 7.160409e-01, 7.250566e-01, 2.385933e+00, -4.289679e-01, -6.383229e-01, 8.117171e-11, 4.219594e-11, 6.757771e-11, 6.080520e+01, -1.866080e-01
1.579400e+09, 1.351797e-01, 7.160305e-01, 7.250465e-01, 2.383995e+00, -4.299753e-01, -6.399364e-01, 8.131118e-11, 4.217103e-11, 6.758160e-11, 6.078593e+01, -1.870315e-01
1.583200e+09, 1.352148e-01, 7.160201e-01, 7.250365e-01, 2.382053e+00, -4.309822e-01, -6.415500e-01, 8.145704e-11, 4.214610e-11, 6.758650e-11, 6.076659e+01, -1.874554e-01
1.587000e+09, 1.352500e-01, 7.160098e-01, 7.250266e-01, 2.380108e+00, -4.319885e-01, -6.431637e-01, 8.160868e-11, 4.212123e-11, 6.759254e-11, 6.074718e+01, -1.878797e-01
1.590800e+09, 1.352855e-01, 7.159995e-01, 7.250169e-01, 2.378160e+00, -4.329942e-01, -6.447775e-01, 8.176549e-11, 4.209649e-11, 6.759983e-11, 6.072769e+01, -1.883044e-01
1.594600e+09, 1.353212e-01, 7.159894e-01, 7.250074e-01, 2.376208e+00, -4.339993e-01, -6.463915e-01, 8.192684e-11, 4.207198e-11, 6.760851e-11, 6.070813e+01, -1.887294e-01
1.598400e+09, 1.353569e-01, 7.159793e-01, 7.249981e-01, 2.374251e+00, -4.350038e-01, -6.480058e-01, 8.209207e-11, 4.204777e-11, 6.761867e-11, 6.068848e+01, -1.891549e-01
1.602200e+09, 1.353928e-01, 7.159694e-01, 7.249891e-01, 2.372291e+00, -4.360077e-01, -6.496202e-01, 8.226049e-11, 4.202393e-11, 6.763042e-11, 6.066875e+01, -1.895807e-01
1.606000e+09, 1.354288e-01, 7.159597e-01, 7.249803e-01, 2.370327e+00, -4.370111e-01, -6.512350e-01, 8.243145e-11, 4.200054e-11, 6.764385e-11, 6.064893e+01, -1.900067e-01
1.609800e+09, 1.354648e-01, 7.159501e-01, 7.249718e-01, 2.368359e+00, -4.380139e-01, -6.528501e-01, 8.260425e-11, 4.197764e-11, 6.765901e-11, 6.062901e+01, -1.904331e-01
1.613600e+09, 1.355008e-01, 7.159406e-01, 7.249636e-01, 2.366387e+00, -4.390162e-01, -6.544655e-01, 8.277821e-11, 4.195531e-11, 6.767599e-11, 6.060901e+01, -1.908597e-01
1.617400e+09, 1.355369e-01, 7.159314e-01, 7.249558e-01, 2.364411e+00, -4.400179e-01, -6.560813e-01, 8.295266e-11, 4.193360e-11, 6.769482e-11, 6.058890e+01, -1.912865e-01
1.621200e+09, 1.355729e-01, 7.159224e-01, 7.249483e-01, 2.362430e+00, -4.410191e-01, -6.576976e-01, 8.312691e-11, 4.191255e-11, 6.771554e-11, 6.056869e+01, -1.917135e-01
1.625000e+09, 1.356089e-01, 7.159136e-01, 7.249411e-01, 2.360445e+00, -4.420198e-01, -6.593144e-01, 8.330031e-11, 4.189221e-11, 6.773818e-11, 6.054838e+01, -1.921406e-01
1.628800e+09, 1.356448e-01, 7.159050e-01, 7.249342e-01, 2.358456e+00, -4.430200e-01, -6.609317e-01, 8.347222e-11, 4.187261e-11, 6.776275e-11, 6.052797e+01, -1.925678e-01
